Column1,Column2,Column3,...
1,Brock Thompson,INF,6' 0'',187,L/R,So.,,"Bakersfield, Calilf.",,Liberty HS
2,Aidan Meola,INF,6' 2'',211,R/R,Sr.,,"Palm Beach Gardens, Fla.",,Palm Beach Gardens HS
3,Terrance Bowen,INF,6' 2'',194,R/R,Fr.,,"Dallas, Ga.",,Blessed Trinity Catholic HS
4,Campbell Smithwick,C,6' 0'',192,L/R,Jr.,,"Oxford, Miss.",Ole Miss,Oxford HS
5,Garrett Shull,INF/OF,6' 2'',204,S/R,So.,,"Enid, Okla.",,Enid HS
6,Remo Indomenico,OF,5' 10'',176,L/L,Fr.,,"Chicago, Ill.",,The First Academy
7,Avery Ortiz,INF,5' 11'',194,,Jr.,,"Tulsa, Okla.",,Union HS
Skip Ad
8,TP Wentworth,OF/LHP,6' 5'',229,L/L,So.,,"Ripon, Calif.",Clemson,Central Catholic HS
9,Danny Wallace,OF,5' 10'',190,R/R,Fr.,,"La Vista, Neb.",,Papillion-La Vista South HS
10,Bryce LeBlanc,LHP,6' 7'',228,,So.,,"Lubbock, Texas",Odessa JC,Frenship HS
12,Colin Brueggemann,1B,6' 6'',246,L/R,Sr.,,"Smithton, Ill.",Johnson County CC,Freeburg HS
13,Kollin Ritchie,OF,6' 2'',224,L/R,Jr.,,"Atoka, Okla.",,Atoka HS
14,Alex Conover,OF,6' 4'',202,L/R,Jr.,,"Tuttle, Okla.",Cowley CC,Tuttle HS
15,Sebastian Norman,INF/OF,6' 0'',247,R/R,Fr.,,"Springfield, Mo.",,Glendale HS
16,Ethan Lund,LHP,6' 6'',216,R/L,So.,,"Fishers, Ind.",,Hamilton Southeastern HS
17,Ezra Essex,OF,5' 7'',176,,Fr.,,"Chicago, Ill.",,P27 Academy
18,Kai Fyke,RHP,6' 2'',199,,Jr.,,"Langley, British Columbia, Canada",Central Arizona CC/University of Fraser Valley,Abbotsford HS
19,Stormy Rhodes,RHP,6' 4'',187,R/R,So.,,"Kerrville, Texas",,Tivy HS
22,Evan Saunders,1B/OF,6' 3'',231,R/R,Jr.,,"St. Michael, Minn.",Iowa Western JC,St. Michael-Albertville HS
23,Cole Pladson,OF,5' 10'',199,L/R,Fr.,,"Clay Center, Kan.",,Clay Center Community HS
24,Quinn Schambow,C,6' 0'',217,R/R,Fr.,,"Libertyville, Ill.",,Libertyville HS
25,Ty Kennedy,INF,5' 10'',181,R/R,Fr.,,"Orlando, Fla.",,East River HS
26,Noah Wech,RHP,6' 1'',205,R/R,So.,,"Manitowoc, Wisc.",,Lincoln HS
27,Matthew Brown,RHP,6' 5'',220,R/R,So.,,"Carlisle, Ontario, Canada",,Waterdown
28,Brennan Phillips,LHP,6' 1'',195,,Sr.,,"Owasso, Okla.",,Owasso HS
30,Brady Francisco,C,5' 9'',192,R/R,So.,,"Simi Valley, Calif.",Yavapai JC/Grand Canyon,Thousand Oaks HS
32,Drew Blake,LHP,6' 2'',196,L/L,Sr.,,"Stillwater, Okla.",,Stillwater HS
33,Lucas Glendinning,RHP,6' 5'',219,,Jr.,,"Viera, Fla.",Indian River JC,Viera HS
34,Josiah Golden,RHP,6' 0'',204,,Jr.,,"Higginsville, Mo.",Johnson County CC,Lafayette County HS
35,Jake Kennedy,RHP,6' 2'',193,,So.,,"Hennessey, Okla.",,Enid HS
36,Hudson Barrett,LHP,6' 5'',232,,Jr.,,"Bakersfield, Calif.",UC Santa Barbara,Frontier HS
37,Kyler Zagar,LHP,6' 1'',185,,So.,,"Perry, Okla.",Cowley County CC,Perry HS
Skip Ad
38,Gaige Albright,LHP,6' 2'',197,,Fr.,,"Choctaw, Okla.",,Choctaw HS
40,Caden Sramek,RHP,6' 7'',237,,Fr.,,"Simi Valley, Calif.",,Royal HS
41,Parker Jennings,RHP,6' 4'',169,,Fr.,,"Granite Bay, Calif.",,IMG Academy
44,Zane Burns,RHP,6' null'',181,,Fr.,,"Chandler, Ariz.",,Corona Del Sol HS
45,Deacon Pomeroy,C/INF,6' 4'',233,R/R,Fr.,,"Topeka, Kan.",,Shawnee Heights HS
48,Drew Winslow,RHP,6' 5'',219,,Fr.,,"Troy, Ill.",,Triad HS
53,Kyle Pearcy,RHP,6' 3'',209,,Fr.,,"Kansas City, Mo.",,Staley HS
56,Cael Turner,RHP,6' 3'',218,,Fr.,,"Cabot, Ark.",,Cabot HS
66,Mario Pesca,RHP,6' 8'',265,R/R,Sr.,,"Bronx, New York",St. John's,Cardinal Spellman HS
77,Hunter Watkins,RHP,6' 9'',231,R/R,Jr.,,"Simi Valley, Calif.",Grand Canyon,Grace Brethren HS
,Josh Holliday,Head Coach,j.holliday@okstate.edu,
,Mark Ginther,Assistant Coach/Recruiting Coordinator,,
,Blake Hawksworth,Assistant Coach/Pitching,,
,Victor Romero,Assistant Coach,victor.romero@okstate.edu,
,Trey Cobb,Pitching Performance & Strategy,,
,Garrett Bayliff,Strength & Conditioning/Sports Performance,,
,Chris McKenzie,Physical Therapist / Athletic Trainer - Baseball,,
,Hub  Roberts,Director of Operations,hub.roberts@okstate.edu,
,Lane Forsythe,Graduate Manager,,
