Column1,Column2,Column3,...
0,TJ Williams,INF/OF,L/R,Jr.,5' 5'',155,"Racine, Wis.",William Horlick HS,Heartland CC
1,Ty Wisdom,INF/OF,L/R,So.,6' 0'',205,"Kansas City, Mo.",Liberty North HS,
2,Mike Koszewski,OF,L/L,R-Sr.,5' 11'',190,"Oakbrook, Ill.",Montini Catholic,Cincinnati/Wabash Valley
3,Brady Counsell,INF/OF,R/R,Sr.,6' 3'',210,"Whitefish Bay, Wis.",Whitefish Bay HS,Minnesota
4,Max Soliz Jr.,C,R/R,Jr.,6' 5'',215,"Houston, Texas",Bob Jones HS,Arkansas/Chattahoochee Valley CC
5,Sawyer Smith,INF,L/R,Sr.,6' 3'',210,"Racine, Wis.",Shoreland Lutheran HS,St. Cloud State
6,Michael Brooks,INF,R/R,R-Sr.,5' 11'',190,"Wellington, Fla.",Palm Beach Central,Arkansas/UCF
Skip Ad
7,Ian Francis,C,R/R,Sr.,6' 1'',205,"Youngstown, Ohio",Cardinal Mooney HS,Youngstown State
8,Chase Diggins,INF,R/R,Sr.,6' 0'',175,"Perth, Australia","Doshisha International School, Kyoto",Odessa College
9,Brady Blake,INF,R/R,R-Fr.,6' 2'',195,"Indianola, Iowa",Indianola HS,
10,Derek Cerda,OF,R/R,Jr.,6' 1'',190,"Santiago, Dominican Republic",Cenapec,Western Oklahoma State College
11,Cooper Moore,RHP,R/R,So.,6' 1'',200,"Bixby, Okla.",Bixby HS,
12,Dominic Voegele,RHP,R/R,So.,6' 2'',200,"Columbia, Ill.",Columbia HS,
14,Tommy Barth,OF,R/L,Sr.,6' 0'',195,"Brecksville, Ohio",Brecksville-Broadview Heights HS,East Tennessee State
15,Thaniel Trumper,RHP,R/R,R-Sr.,6' 3'',205,"Fort Collins, Colo.",Fossil Ridge,Doane University
16,Malakai Vetock,RHP,R/R,Sr.,6' 2'',205,"Omaha, Neb.",Elkhorn HS,Creighton
18,Kannon Carr,RHP,R/R,Jr.,6' 0'',190,"Poplar Bluff, Mo.",Poplar Bluff HS,Jefferson College
20,Dalton Smith,RHP,R/R,Jr.,6' 0'',190,"Raymore, Mo.",Raymore-Peculiar HS,Kansas City Kansas CC
21,Brian Hallum,RHP,R/R,Jr.,6' 5'',230,"Plano, Texas",Plano West HS,Dodge City CC
23,Dariel Osoria,INF,R/R,Jr.,6' 0'',190,"Bronx, N.Y.",Metropolitan Soundview HS,Western Oklahoma State College
26,Brady Ballinger,INF,L/L,So.,6' 2'',220,"Las Vegas, Nev.",Green Valley HS,College of Southern Nevada
28,Blake O'Brien,RHP,R/R,Fr.,5' 11'',190,"Overland Park, Kan.",Saint Thomas Aquinas HS,
29,Naun Haro,LHP,L/L,Jr.,6' 2'',205,"La Quinta, Calif.",Palm Desert HS,Central Arizona College/College of Southern Nevada
31,Xander Schmitt,C/OF,R/R,Fr.,5' 11'',195,"Wildwood, Mo.",Lafayette HS,
32,Kaiden Ashton,OF,L/R,Jr.,5' 7'',185,"Sapulpa, Okla.",Sapulpa HS,Northeastern Oklahoma A&M College
33,Porter Conn,LHP,R/L,Jr.,6' 1'',220,"LeRoy, Ill.",LeRoy HS,Lincoln Land CC
34,Jake Cubbler,RHP,R/R,R-Sr.,6' 1'',210,"Mullica Hill, N.J.",Clearview Regional HS,USC Upstate
35,Alex Breckheimer,RHP,R/R,Jr.,6' 5'',270,"Chilton, Wis.",Chilton HS,Bryant & Stratton College
36,Patrick Steitz,RHP,R/R,R-Jr.,6' 8'',215,"Peoria, Ariz.",Liberty HS,Central Arizona College
37,Jackson Hauge,INF/OF,R/R,Gr.,6' 1'',220,"Ramsey, Minn.",Anoka HS,Minnesota State Mankato
39,Maddox Burkitt,RHP,R/R,Jr.,6' 2'',200,"Lawrence, Kan.",Lawrence Free State HS,Johnson County CC
40,Connor Maggi,RHP,R/R,Sr.,5' 9'',195,"Forest, Va.",Jefferson Forest HS,Gardner-Webb
Skip Ad
41,Kasey Crawford,RHP,R/R,So.,6' 4'',190,"Olathe, Kan.",Olathe West HS,
43,Eric Lin,RHP,R/R,Sr.,6' 0'',200,"Algonquin, Ill.",Huntley HS,South Alabama
44,Jeremy Allen,RHP,R/R,Fr.,6' 0'',190,"Arlington Heights, Ill.",John Hersey HS,
45,Manning West,RHP,R/R,R-So.,6' 6'',225,"Winder, Ga.",Apalachee HS,Oklahoma State/Walters State CC
46,Gavin Brasosky,LHP,L/L,Sr.,6' 0'',195,"Kalamazoo, Mich.",Portage Central,Tennessee
47,Robbie Knowles,RHP,R/R,Jr.,6' 1'',220,"Manhattan Beach, Calif.",Mira Costa HS,San Diego/El Camino College
48,Brigden Parker,LHP,L/L,R-Jr.,6' 3'',220,"Holly, Colo.",Holly HS,Cowley County CC
,Dan Fitzgerald,Head Baseball Coach,,864-7907
,Brandon Scott,Assistant Coach/Pitching Coach,scottb@ku.edu,
,Tyler Hancock,Assistant Coach/Hitting Coach,hancockt@ku.edu,
,Jon Coyne,Assistant Coach/Recruiting Coordinator,coynej@ku.edu,
,Ryan Holland,Director of Player Development,ryan.holland@ku.edu,
,Luke Marbach,Director of Baseball Operations,luke.marbach@ku.edu,
,Scott Junck,Graduate Manager,scott.junck@ku.edu,
,Luke Bradford,Director of Sports Performance,bradfordl@ku.edu,
,"Jeff Roberts, MS, ATC, LAT",Assistant Athletic Trainer (BSB),jeff.roberts@ku.edu,
