Column1,Column2,Column3,...
1,Ty,Cowan,INF,L/R,5' 10'',185,Sr.,"Maple Valley, Wash. / Liberty HS",Paradise Valley CC / Incarnate Word
2,Colton,Bower,C,R/R,6' 0'',210,R-Jr.,"Poulsbo, Wash. / North Kitsap",Washington State
3,Chase,Cretti,INF,R/R,5' 9'',160,Jr.,"Federal Way, Wash. / Fife HS",Tacoma CC
4,Ethan,Swidler,C,R/R,6' 1'',200,Sr.,"San Diego, Calif. / Canyon Crest Academy",Lafayette
6,Landon,Young,INF,R/R,6' 2'',190,Fr.,"Highland, Calif. / Aquinas HS",TCU
7,Blake,Wilson,INF,R/R,5' 10'',175,Jr.,"Trabuco Canyon, Calif. / Santa Margarita Catholic",
9,Aidan,Dougherty,OF,R/R,6' 0'',200,Sr.,"Snoqualmie, Wash. / Mount Si HS",Linn Benton CC
Skip Ad
10,Braeden,Terry,OF,L/L,6' 0'',200,Gr.,"Bellevue, Wash. / Newport",Everett CC
11,Alexander,Pearson,1B/OF,L/L,6' 3'',205,Fr.,"Tigard, Ore. / Tigard HS",
12,Casen,Taggart,INF/OF,L/R,6' 5'',225,Gr.,"Everett, Wash. / Everett",Centralia CC / Washington State
13,Mic,Paul,OF,L/L,5' 10'',190,Jr.,"Salt Lake City, Utah / Olympus HS",LSU
15,Liam,Lierman,LHP,L/L,6' 1'',180,Fr.,"Eagle River, Alaska / Eagle River HS",
17,Hayden,Lewis,RHP,R/R,6' 0'',185,Sr.,"Scottsdale, Ariz. / Chaparral HS",Arizona / New Mexico State
18,Nate,Tichy,RHP,R/R,6' 1'',180,So.,"San Jose, Calif. / Pioneer HS",Pepperdine
19,Jackson,Hotchkiss,OF,R/R,6' 3'',190,So.,"Battle Ground, Wash. / Battle Ground",
20,Carson,Boesel,RHP,R/R,6' 5'',220,Jr.,"Malott, Wash. / Okanogan HS",Spokane Falls CC
21,Jack,Wade,LHP,L/L,6' 1'',185,Jr.,"Mission Viejo, Calif. / Mission Viejo HS",Saddleback CC
22,Noah,Kenney,RHP,R/R,6' 2'',210,Jr.,"Rancho Cordova, Calif. / Legend HS",Folsom Lake CC
23,Daniel,Porras,1B/OF,L/L,6' 2'',190,Fr.,"Olalla, Wash. / Gig Harbor HS",
24,Ian,Draper,INF,R/R,6' 1'',185,Fr.,"Puyallup, Wash. / Rogers",
25,Tyler,Walker,LHP,L/L,6' 6'',230,Fr.,"Burlington, Wash. / Burlington-Edison HS",
27,Justin,Tims,RHP,L/R,6' 3'',195,So.,"Anaheim, Calif. / Villa Park",
28,Drew,Johnson,1B,L/L,6' 2'',200,So.,"Gilbert, Ariz. / Gilbert HS",South Mountain CC
29,Bryce,Johnson,RHP,R/R,6' 3'',220,So.,"Sammamish, Wash. / Eastlake HS",Oregon State
30,Kevin,Spear,C,R/R,6' 0'',190,Jr.,"Seattle, Wash. / Bishop Blanchet HS",Gonzaga
31,Gunnar,Nichols,RHP,L/R,6' 4'',185,Sr.,"Burbank, Calif. / John Burroughs",Pepperdine
34,Noah,Sorensen,RHP,R/R,6' 2'',210,So.,"Poulsbo, Wash. / North Kitsap",Oregon State
35,Peysen,Sweeney,RHP,L/R,6' 5'',235,R-Sr.,"Newcastle, Wash. / Liberty",
38,Cooper,McBride,LHP,L/L,5' 11'',190,Jr.,"Arlington, Wash. / Arlington HS",Everett CC
39,Jackson,Thomas,RHP,R/R,6' 3'',200,Gr.,"Mesa, Ariz. / Mountain View",Utah Valley
45,Jaxson,Gore,RHP,R/R,6' 0'',190,R-So.,"Poulsbo, Wash. / North Kitsap",
47,Jay,Miller,RHP,R/R,6' 6'',230,Sr.,"Corner Brook, Newfoundland / St. Charles College HS",UNC Greensboro
Skip Ad
51,Sam,DeCarlo,INF,R/R,5' 9'',190,Sr.,"Signal Hill, Calif. / Millikan",
55,Tommy,Brandenburg,RHP,R/R,5' 11'',195,R-Sr.,"Kalama, Wash. / Kalama",Oregon / Central Arizona
99,Peyton,Robidoux,RHP,L/R,6' 2'',175,Fr.,"Smyrna, Ga. / Whitefield Academy",
,Eddie Smith,Head Coach,baseball@uw.edu,
,Connor Lambert,Pitching Coach,lambo35@uw.edu,
,Kade Kryzsko,Assistant Coach,kadekryz@uw.edu,
,Justin Jacobs,Recruiting Coordinator,jjac@uw.edu,
,Damon Lessler,Director of Player Development,lessler5@uw.edu,
,Scott Junck,Director of Baseball Operations,sjunck@uw.edu,
,Jake Rook,Director of Baseball Analytics,,
,Joseph Boschee,Student Manager,,
