Column1,Column2,Column3,...
0,Isaac,Yeager,RHP,L/R,6' 6'',215,Jr.,"Seattle, Wash. / Bishop Blanchet",
1,AJ,Guerrero,OF,R/R,6' 0'',210,Sr.,"Fife, Wash. / Fife",
2,Colton,Bower,C,R/R,6' 0'',210,R-So.,"Poulsbo, Wash. / North Kitsap",Washington State
3,Reeve,Boyd,INF,R/R,6' 1'',190,R-Fr.,"Seattle, Wash. / Seattle Prep",Oregon State
4,Sawyer,Parkin,RHP,R/R,5' 11'',195,Sr.,"Vancouver, Wash. / Columbia River",
5,Julian,Sanders,OF,R/R,6' 2'',210,Gr.,"Mercer Island, Wash. / Lakeside",Claremont McKenna
6,Carson,Crawford,INF,R/R,6' 2'',200,Sr.,"Rohnert Park, Calif. / Cardinal Newman",California
Skip Ad
7,Blake,Wilson,INF,R/R,5' 10'',175,So.,"Trabuco Canyon, Calif. / Santa Margarita Catholic",
9,Cooper,Whitton,OF,R/R,6' 3'',200,Jr.,"San Diego, Calif. / Santa Fe Christian",
10,Braeden,Terry,OF,L/L,6' 0'',200,Sr.,"Bellevue, Wash. / Newport",Everett CC
11,Jase,Evangelista,RHP,R/R,6' 2'',195,So.,"Riverside, Calif. / Martin Luther King",
12,Casen,Taggart,INF/OF,L/R,6' 5'',225,Sr.,"Everett, Wash. / Everett",Centralia CC / Washington State
13,Micah,Bujacich,RHP,R/R,6' 3'',190,Fr.,"Lakewood, Wash. / Steilacoom",
15,Will,Woodward,LHP,L/L,6' 7'',225,R-So.,"Redmond, Wash. / Eastlake",
16,Trevor,Kole,INF,R/R,6' 0'',200,Gr.,"Boca Raton, Fla. / Gibbons",Florida Gulf Coast
17,Matthew,Henning,RHP/OF,R/R,6' 1'',200,Fr.,"West Seattle, Wash. / West Seattle",
18,Boston,Warkentin,RHP,R/R,6' 2'',205,R-So.,"Ladner, British Columbia / Foothills Composite",
19,Jackson,Hotchkiss,OF,R/R,6' 3'',190,Fr.,"Battle Ground, Wash. / Battle Ground",
20,Easton,O'Neal,C,S/R,6' 1'',205,Fr.,"Spokane, Wash. / West Valley",
21,Lane,Simonsen,RHP,R/R,6' 2'',195,Fr.,"Lynden, Wash. / Lynden",
22,Max,Banks,RHP,R/R,6' 4'',225,Sr.,"San Francisco, Calif. / Stuart Hall",Chapman
23,Colin,Blanchard,C,L/R,6' 1'',195,R-Jr.,"Ladera Ranch, Calif. / JSerra Catholic",
24,Malakhi,Knight,OF,R/R,6' 3'',205,Sr.,"Marysville, Wash. / Marysville Getchell",UCLA
25,Reilly,McAdams,RHP,R/R,6' 6'',235,R-Sr.,"Seattle, Wash. / Ingraham",
26,Charlie,Denomme,RHP,R/R,6' 4'',225,So.,"Boston, Mass. / Thayer Academy",Michigan
27,Justin,Tims,RHP/INF,L/R,6' 3'',195,Fr.,"Anaheim, Calif. / Villa Park",
31,Gunnar,Nichols,RHP,L/R,6' 4'',185,Jr.,"Burbank, Calif. / John Burroughs",Pepperdine
32,Josh,Emanuels,RHP,R/R,6' 3'',210,R-Sr.,"Bellevue, Wash. / Interlake",
33,Jack,Sand,LHP,L/L,5' 10'',195,So.,"Aliso Viejo, Calif. / Crean Lutheran",
34,Noah,Sorensen,RHP,R/R,6' 2'',210,Fr.,"Poulsbo, Wash. / North Kitsap",Oregon State
35,Peysen,Sweeney,RHP,L/R,6' 5'',235,R-Jr.,"Newcastle, Wash. / Liberty",
37,Bradley,Gilbert,RHP,L/R,6' 0'',195,Fr.,"Redlands, Calif. / Aquinas",
Skip Ad
39,Jackson,Thomas,RHP,R/R,6' 3'',200,Sr.,"Mesa, Ariz. / Mountain View",Utah Valley
40,Tommy,Curran,LHP,R/L,6' 2'',180,Fr.,"Pleasant Hill, Calif. / De La Salle",
41,Carston,Pearson,OF,L/L,6' 0'',200,So.,"Dublin, Calif. / Dublin",
43,Luke,Klooster,C,R/R,5' 10'',190,Fr.,"Duvall, Wash. / O'Dea",
44,Grady,Woodward,OF,R/R,6' 2'',205,Fr.,"Redmond, Wash. / Eastlake",
45,Jaxson,Gore,RHP,R/R,6' 0'',190,So.,"Poulsbo, Wash. / North Kitsap",
51,Sam,DeCarlo,INF,R/R,5' 9'',190,Jr.,"Signal Hill, Calif. / Millikan",
55,Tommy,Brandenburg,RHP,R/R,5' 11'',195,R-Jr.,"Kalama, Wash. / Kalama",Oregon / Central Arizona
95,Nic,Bronzini,LHP,L/L,6' 4'',250,R-So.,"San Ramon, Calif. / California",LSU
99,Logan,Anderson,RHP,R/R,6' 4'',210,R-Fr.,"Shoreline, Wash. / Shorewood",
,Eddie Smith,Head Coach,baseball@uw.edu,
,Connor Lambert,Pitching Coach,lambo35@uw.edu,
,Mike Gange,Recruiting Coordinator,mrgange2@uw.edu,
,Joe Murray,Strength & Conditioning Coach,jmurra43@uw.edu,
,Damon Lessler,Director of Player Development,lessler5@uw.edu,
